Category,FY2021,FY2022_CR,FY2022_PB,FY2023_PB
Operations and Support,7875730.0,7875730.0,7939786.0,8002128.0
Mission Support,1304434.0,1304434.0,1364419.0,1467390.0
Office of the Principal Legal Advisor,313664.0,313664.0,341214.0,402314.0
Homeland Security Investigations,2138730.0,2138730.0,2167725.0,2330198.0
Domestic Investigations,1853933.0,1853933.0,1875754.0,2030000.0
International Operations,186626.0,186626.0,192384.0,197141.0
Intelligence,98171.0,98171.0,99587.0,103057.0
Enforcement and Removal Operations,4118902.0,4118902.0,4066428.0,3802226.0
Custody Operations,2836128.0,2836128.0,2775100.0,2406059.0
Fugitive Operations,145141.0,145141.0,146660.0,152502.0
Criminal Apprehension Program,278422.0,278422.0,284161.0,295056.0
Alternatives to Detention,440122.0,440122.0,440476.0,527133.0
Transportation and Removal Program,419089.0,419089.0,420031.0,421476.0
"Procurement, Construction, and Improvements",97799.0,97799.0,51700.0,97762.0
Mission Support Assets and Infrastructure,3060.0,3060.0,13321.0,10563.0
Consolidated ICE Financial Solution (CIFS),,,13321.0,10563.0
Mission Support Assets and Infrastructure End Items,3060.0,3060.0,,
Operational Communications/Information Technology,21478.0,21478.0,21000.0,12434.0
TACCOM,6850.0,6850.0,,
Operational Communications/Information Technology End Items,8628.0,8628.0,15000.0,4300.0
Construction and Facility Improvements,73261.0,73261.0,17379.0,74765.0
Mission Capacity Expansion,51761.0,51761.0,11900.0,14200.0
Critical Repair/Replacement Requirement,21500.0,21500.0,5479.0,60565.0
Immigration Inspection User Fees,135000.0,135000.0,135000.0,135000.0
Breached Bond Detention Fund,55000.0,55000.0,55000.0,55000.0
Student and Exchange Visitor Program,186610.0,186610.0,186610.0,186610.0
Detention and Removal Office Fee,300.0,300.0,3000.0,3000.0
Total,8350439.0,8350439.0,8371096.0,8479500.0
